Car ID: 178, Fitness: -18.21
Car ID: 111, Fitness: 694.28
Car ID: 195, Fitness: 0.52
Car ID: 196, Fitness: -20.00
Car ID: 197, Fitness: 212.10
Car ID: 198, Fitness: -19.47
Car ID: 199, Fitness: -16.22
Car ID: 200, Fitness: -19.41
Car ID: 201, Fitness: -20.00
Car ID: 202, Fitness: 15.67
Car ID: 203, Fitness: -18.67
Car ID: 204, Fitness: -18.73
Car ID: 205, Fitness: 12.41
Car ID: 206, Fitness: 12.78
Car ID: 207, Fitness: -17.65
Car ID: 208, Fitness: -17.65
Car ID: 209, Fitness: 88.04
Car ID: 210, Fitness: -17.90
Car ID: 211, Fitness: 14.33
Car ID: 212, Fitness: -8.42
Car ID: 213, Fitness: 135.88
Car ID: 214, Fitness: -18.21
Car ID: 215, Fitness: 9.53
Car ID: 216, Fitness: 315.02
Car ID: 217, Fitness: 1741.95
Car ID: 218, Fitness: -16.46
Car ID: 219, Fitness: -18.52
Car ID: 220, Fitness: -18.61
Car ID: 221, Fitness: -18.84
Car ID: 222, Fitness: -13.53
Car ID: 223, Fitness: 14.40
Car ID: 224, Fitness: 5.66
Car ID: 225, Fitness: 22.45
Car ID: 226, Fitness: 6.62
Car ID: 227, Fitness: -15.00
Car ID: 228, Fitness: -19.09
Car ID: 229, Fitness: 5.82
Car ID: 230, Fitness: -20.00
Car ID: 231, Fitness: 22.47
Car ID: 232, Fitness: 6.89
Car ID: 233, Fitness: 65.73
Car ID: 234, Fitness: 19.04
Car ID: 235, Fitness: -16.40
Car ID: 236, Fitness: 95.09
Car ID: 237, Fitness: 20.75
Car ID: 238, Fitness: -8.56
Car ID: 239, Fitness: -18.73
Car ID: 240, Fitness: -20.00
Car ID: 241, Fitness: -19.14
Car ID: 242, Fitness: 17.20
